Block_ID,Column,Value,Probability,Entropy
14,Left Operand,%al,0.02,4.62
14,Left Operand,%eax,0.02,4.62
14,Left Operand,%ecx,0.02,4.62
14,Left Operand,%edx,0.02,4.62
14,Left Operand,%esi,0.02,4.62
14,Left Operand,%rax,0.11,4.62
14,Left Operand,%rbp,0.04,4.62
14,Left Operand,%rcx,0.04,4.62
14,Left Operand,%rdi,0.02,4.62
14,Left Operand,%rsp,0.02,4.62
14,Left Operand,(%rax),0.04,4.62
14,Left Operand,"(%rax,%rcx,4)",0.02,4.62
14,Left Operand,-0x18(%rbp),0.04,4.62
14,Left Operand,-0x1c(%rbp),0.09,4.62
14,Left Operand,-0x28(%rbp),0.09,4.62
14,Left Operand,-0x30(%rbp),0.02,4.62
14,Left Operand,-0x8(%rbp),0.02,4.62
14,Left Operand,-0xc(%rbp),0.04,4.62
14,Left Operand,0x8(%rcx),0.02,4.62
14,Left Operand,1030<_Znam@plt>,0.02,4.62
14,Left Operand,1070<_ZdaPv@plt>,0.02,4.62
14,Left Operand,1494<_ZN12DynamicArrayIiE6resizeEi+0x44>,0.02,4.62
14,Left Operand,14cb<_ZN12DynamicArrayIiE6resizeEi+0x7b>,0.02,4.62
14,Left Operand,14e9<_ZN12DynamicArrayIiE6resizeEi+0x99>,0.02,4.62
14,Right Operand,%eax,0.09,3.59
14,Right Operand,%ecx,0.04,3.59
14,Right Operand,%edx,0.02,3.59
14,Right Operand,%rax,0.21,3.59
14,Right Operand,%rbp,0.02,3.59
14,Right Operand,%rcx,0.09,3.59
14,Right Operand,%rdi,0.06,3.59
14,Right Operand,%rsp,0.04,3.59
14,Right Operand,(%rax),0.02,3.59
14,Right Operand,"(%rax,%rcx,4)",0.02,3.59
14,Right Operand,-0x18(%rbp),0.02,3.59
14,Right Operand,-0x1c(%rbp),0.04,3.59
14,Right Operand,-0x28(%rbp),0.02,3.59
14,Right Operand,-0x30(%rbp),0.02,3.59
14,Right Operand,-0x8(%rbp),0.02,3.59
14,Right Operand,-0xc(%rbp),0.02,3.59
14,Right Operand,0xc(%rax),0.02,3.59
